CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,dif_first,dif_last
MCAS,1240171,283,283_1240171,2,0.128,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.975772455,0.7726697690000001,0.643710682,0.562943993,0.423188733,0.208549487,0.130100879,0.131694729,0.12132394,Omipalisib,MCAS,0.024227545000000017,0.010370789000000005
LB771-HNC,753583,219,219_753583,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.958449135,0.959213573,0.9463728579999999,0.958246783,0.8716152709999999,0.780164358,0.40842374299999995,0.180365821,0.168882051,AT-7519,LB771-HNC,0.04155086500000005,0.011483770000000004
SK-MEL-2,905955,223,223_905955,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.983588021,0.9849933359999999,0.936369827,0.924068911,0.679459812,0.544857286,0.451510655,0.36948592399999997,0.35679496899999996,ZSTK474,SK-MEL-2,0.01641197900000002,0.012690955000000004
Set2,1659820,1022,1022_1659820,2,2.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9879500390000001,0.943427846,0.8324380779999999,0.76967581,0.574397872,0.283749015,0.097140818,0.086316628,0.123526951,AZD7762,Set2,0.012049960999999887,0.03721032299999999
GRANTA-519,1303897,1004,1004_1303897,2,0.1,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.990301795,0.979754955,0.874817472,0.6566799329999999,0.47749675399999997,0.43646065799999995,0.451112047,0.329157173,0.301342166,Vinblastine,GRANTA-519,0.00969820499999996,0.027815007000000003
KARPAS-231,1327774,140,140_1327774,2,0.064,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.950141977,0.920031595,0.802143995,0.41032859899999996,0.171955236,0.037304912,0.06009561099999999,0.016720146,0.025018932999999997,Vinorelbine,KARPAS-231,0.049858022999999974,0.008298786999999995
COR-L23,687780,133,133_687780,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9664337340000001,0.97431479,0.829382539,0.36792896,0.249440705,0.19055306600000002,0.10227800599999999,0.047134028,0.013434693999999999,Doxorubicin,COR-L23,0.0335662659999999,0.033699334000000004
MDA-MB-175-VII,908120,273,273_908120,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.98678884,0.938670957,0.94064339,0.8688309909999999,0.8142241179999999,0.556358507,0.13925212,0.053969160999999995,0.039662162,CUDC-101,MDA-MB-175-VII,0.01321116,0.014306998999999994
BHY,753535,173,173_753535,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.950607761,0.9110687120000001,0.9471365159999999,0.9437384,0.835086456,0.604536256,0.101863787,0.035349452,0.024823582,FH535,BHY,0.049392239000000004,0.010525870000000003
ESS-1,907000,273,273_907000,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.975649062,0.914675395,0.739165017,0.626965195,0.609037803,0.048179674000000006,0.016240138,0.009401096999999999,0.0072695469999999995,CUDC-101,ESS-1,0.02435093799999999,0.0021315499999999994
PCI-6A,1240206,1004,1004_1240206,2,0.1,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.972220827,0.798898267,0.7118137390000001,0.224750762,0.07549286599999999,0.034891816,0.038845545,0.044076192,0.039511674,Vinblastine,PCI-6A,0.02777917299999999,0.0045645180000000035
COR-L23,687780,344,344_687780,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.999643933,0.9896457009999999,0.953654467,0.579202616,0.32358059100000003,0.165094674,0.050079044,0.037200816,0.035241939,THZ-2-49,COR-L23,0.00035606700000001545,0.0019588769999999978
P30-OHK,909252,331,331_909252,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.964617535,0.8298755609999999,0.7006532259999999,0.425069401,0.262396184,0.15089028,0.072188414,0.046399011,0.031012404,QL-X-138,P30-OHK,0.035382464999999974,0.015386606999999997
