CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,auc,spearman_r,count_missing
HCC1954,749709,344,344_749709,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.086255778,1.040465017,1.024300585,1.063511643,1.029543372,1.06192302,1.079461903,0.96582844,0.106093058,THZ-2-49,HCC1954,0.9893706986127124,-0.3212121212121212,0
SKG-IIIa,930298,182,182_930298,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.053409861,1.003375176,1.010411358,1.00696027,0.8935146709999999,0.8121730659999999,0.531583775,0.34319579,0.123869836,Obatoclax Mesylate,SKG-IIIa,0.8018398762595086,-0.8424242424242423,0
KALS-1,907271,64,64_907271,2,4.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.988580107,0.982149331,0.995686728,0.90372561,0.957957121,1.000371569,0.89113542,0.651363738,0.11394851,CMK,KALS-1,0.8808826532721808,-0.6969696969696969,0
NBsusSR,925342,235,235_925342,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.97894782,0.965697544,0.959176388,0.968372852,1.008235091,0.849485787,0.569434064,0.300499502,0.109808416,QL-XII-47,NBsusSR,0.7949725841933313,-0.7818181818181817,0
VMRC-MELG,930301,167,167_930301,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.984743661,0.826200697,0.980495202,0.999189746,0.959372022,1.054300598,1.166874838,0.094115756,0.030190344,OSU-03012,VMRC-MELG,0.8422652992481268,-0.28484848484848485,0
WM239A,1240225,308,308_1240225,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.051098503,1.038233855,1.006569351,0.966421987,0.964846199,0.8644453529999999,0.495636033,0.009452316,0.00848716,WIKI4,WM239A,0.7667719087544178,-0.9272727272727272,0
MC-CAR,683665,261,261_683665,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.933546622,0.8884387890000001,0.92896749,0.925223927,0.96372601,0.8572754090000001,0.7517483309999999,0.69037991,0.155900557,TL-1-85,MC-CAR,0.8352507519425574,-0.8424242424242423,0
SNU-175,1659928,203,203_1659928,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.95616135,0.988751793,1.018290858,0.951847441,1.056303501,1.122156995,0.889191614,0.43824425,0.004465066,BMS-345541,SNU-175,0.8803533706792778,-0.4787878787878787,0
NCI-H2444,1298356,170,170_1298356,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.989861394,1.001005887,1.034215752,1.072001068,0.995367417,0.816541231,0.167042141,0.153222902,0.048869928,Shikonin,NCI-H2444,0.7504103065054962,-0.7212121212121211,0
KMH-2,1298167,194,194_1298167,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.073182983,1.0676032,1.018994141,1.000250943,0.996789411,0.905571773,0.117543719,0.058033418,0.06559491,Luminespib,KMH-2,0.7523074494684348,-0.8666666666666665,0
